review_date,handle,rating,helpfulness_rating,review
"April 14, 2018",The Dolphin,2.0,513,"Delightful coffee maker if you’re only looking to use it for one year. The design of this is so flawed, you’ll find the flow of the pour decreasing... and decreasing... and decreasing, all the while cleaning it as it instructs you to do. It never gets clean, but that does not stop it from wanting more cleaning. It will take you 68 minutes to fill one cup of coffee, as it trickles out at the speed of an icicle melting in 33 degree weather. Then, one day you’ll notice more coffee on your countertop than your cup. You’ll assume that you’re just tired and mistakingly spilling your coffee in your non caffeinated state. You take the blame. It’s not you. Hamilton Beach is against you. They designed this machine to slowly test your patience and convince you that you’re insane. It torments you with request to clean, fully knowing... it can never be cleaned. It will toy with your emotions until one day you crack and throw it out the front door. Or so I’ve heard. I “would never do such a thing.”"
"February 7, 2019",Karen Kaffenberger,1.0,122,"UPDATE: Bought this 10-21-18 and I finally retired this POS to the trash Sept 2019. I've added two new photos to show how the leakage has gotten worse throughout the year. This model was poorly engineered. I have NEVER had a coffee pot leak like this. I replaced it with a Bonavita (through Amazon) and am quite pleased. I've owned 2 other previous incarnations of this model, and bought this one because I really like this design and had worn out the old one. I have now had this new one for 3 months so I think it's had a good trial. PROS: No glass carafe to break. Digital programming for coffee strength & for iced, different settings for ""keep warm"", and timer are easy to use and great to have. Beeps loudly when the coffee is ready.  Makes coffee reasonably fast. Coffee tastes good even after being on ""keep warm"" for 2 hrs. Fits under kitchen cabinet on sink. Love the press-to-pour lever--comes out well. Light colored interior numbers on inside of the chamber makes it easy to see when you have poured in the correct amount of water. CONS: The water/coffee chamber has been redesigned, & I can't say I'm a fan. It's harder to clean than the old model, and if you get too zealous pouring the water (like I do) it will splash out when it hits the crossbar. The water/coffee chamber no longer fits together snugly with the base--not sure why, but there is a small gap along the back vertical part. Mug rest under the coffee lever is incredibly small. A normal sized mug cannot sit comfortably on there. The biggest CON-- IT LEAKS. (see photo) The amount of coffee leakage is proportional to the number of cups made, i.e., when I make 10 cups it leaks way more than if I make 4. Also not exactly sure where the leak is coming from--it does not appear to leak when the lever is pushed to get the coffee. OTHER THINGS TO NOTE: On the old model, the lid was removable. On this model, the lid flips up. Since I have to move the coffeemaker  back & forth (due to lack of counter space) I sometimes accidentally hit the clock/timer buttons because of their placement. The mug rest detaches easily for cleaning, but tends to be loose (a minor thing). FINAL TAKE: Not worth the money, leaks, and requires a lot of effort to keep it from staining the counter top."
"December 23, 2017",C1C3C11,4.0,185,"The big reason I ordered this was because I was tired of dealing with coffee carafes. I liked the idea that it was a combination of 12-cup coffee maker with the convenience of a Keurig. And on that level it didn't disappoint. However there are few things I find annoying about it. Like most people who use a coffeemaker, it sits on my countertop underneath my cabinets. And of course in order to fill it, clean it, or whatever, I have to pull it out from the wall. I run into a problem with the little silicon rubber feet on the base. If I slide it across the countertop, the feet pop out of the base and I have to re-insert them. So to avoid that I have to lift the device. However the drip tray in the front is detachable, so it comes off each time I lift it. I know that is minor stuff, but like I said, it's annoying. Keeping it clean is just a little easier than the carafe dripmakers I have owned. That is because it is much easier to clean the water reservoir than in most conventional dripmakers. Technically the urn and filter basket are stacked on top of the reservoir in the base. Since the coffee urn is removable, the reservoir is completely accessible for cleaning. As with all dripmakers you still need to perform the vinegar ritual to remove scale from the elements, but at least you can keep the reservoir quite clean from accumulating residue. All in all, it makes a pretty good cup of coffee. I set it up at night and program it to brew before I get up in the morning. Since it can keep the coffee warm for up to 4 hours, I normally brew about 6 to 8 cups and hit on it throughout the day. I know that's a mortal sin for coffee aficionados and snobs, but then I doubt they would even look at coffeemakers like these."
"November 26, 2016",Paul Roberts,5.0,224,"I've owned several of their older brewstation models over the last 7yrs. Those after 2.5 yrs have always stopped dispensing as the prong begins to flex due to the heat and wont push the coffee release valve as much eventually leading to no coffee coming out. The big pain was the old design allowed condensation from the lid to drip into the wells under the coffee carafe and it would overflow into the drip tray, thenmix with dripped coffee inside, and then run all over the counter on the 3rd pot. You'd have to remember to tip the entire machine into the sink to empty those wells. BUT- this model is much improved! Those two issues are gone. As far as others here saying it won't dispense with thick cups....not sure what they heck they are filling...maybe a stone chiseled mug with 2 inch rim thickness...I don't know. I have no issues with normal ""thick rim mugs"" with my unit.  See my picture of it pouring into my thick mug. The spout output is at least 1 inch from the button. If your mug does not clear, you need another mug. No condensation at all on my unit either. They have put in two fixes with a much improved catch ramp built into the coffee filter holder and the area at the top back at the lid hinge now allows the condensation to drip directly into the water well where you pour the water. Problems solved! I think competitors write bogus reviews to scare people into not buying the product. Don't listen to it. This is the new and improved version! It's narrower, more compact, has a bold setting and does not drip lid condensation into the drip tray like the old one did. This one rocks! The only thing that's nit picky is filling it with water. Using the coffee carafe you need to rinse it well first. Or, you need another container marked at 12 cups to use to fill it with each time. Other than that, perfection with this version."
"November 28, 2017",JennyD,3.0,116,"I agonized over which coffee maker to purchase for months. What I think makes the perfect coffee is a pour-over and I have 2 of those.  The problem with them is that the heat doesn't stay for long.  Winter time is my extra coffee time and so I wanted a new drip to do the job for me and so that I could have coffee during the day without having to re-perk.  I do not like the warming trays as they continue to cook coffee and ugh, that's not good.  THIS coffee maker is sublime.  It arrived today, I cleaned it thoroughly and made the first small pot on the 1-4 setting. YUM.  Even an hour later it tasted fresh perked.  Now I have it set for 8 cups with the timer on for tomorrow morning and I can hardly wait. I'll be honest and say that pour overs are still the best but time consuming, but this Hamilton Beach (with no carafe) is the best drip coffee maker I've ever used.  People talk about leaking, and I say read the instructions, and that goes for any leak or any taste.  This one is fabulous! ______________________________ Well, here's an update, and I've removed 2 stars.  It's still a great coffeeMAKER (I stress the maker part), BUT, you know that hour later where it was still great tasting? Now it's not.  I can't say it's a burned taste, but it IS an overcooked taste even though there is no burner that a carafe would sit on.  I think the heater that keeps the coffee hot (and it does stay hot) actually continues to cook.  Even the color of the coffee is much darker.  This is my only gripe, but it's an important one.  Bottom line is, make the amount of coffee you'll drink fairly quickly and you'll be very happy, but don't leave the tank for hours with the idea it's going to taste 'just perked'."
"January 23, 2019",Pauline Matthews,1.0,76,"I loved the convenience of having a coffee brewer that kept the coffee hot for a few hours. I was satisfied with the product until I woke up one morning with  the remaining coffee left in the pot overnight all over my countertop. I read the instruction booklet, cleaned the pot as instructed and made more coffee only to have the same thing happen again. This happened several times in a row over several days of use. I finally got frustrated and bought another coffee pot. I am not writing to complain or ask for a refund, but simply to inform you that the pot I got from you was defective so that you can check it out for yourselves. The problem I had happened from the site where you pushed the cup against the pot to fill it with coffee. It never shut completely and continued to drip until the pot was empty of any remaining coffee. Easy to replace a pot, but not so easy to replace a counter top or a cabinet."
"April 19, 2018",Kris K.,5.0,85,"This is my second Brewstation - the first one lasted 11 years but it experienced an accident :( , and we liked it so we replaced it with pretty much the same thing.  It's funny to see people telling others what they will or will not experience; I guess such folks must be psychic :p  Sorry, I'm not, so I can't predict what others will experience - I can only describe what I experienced. That being said, since we replaced our dropped one with the same thing, I guess it's obvious that *we* like it, LOL!  Now, the one I ordered *was* described as ""Ships from and sold by Amazon.com"", and yes, that *is* something I do look for because, over the past 12+ years, I have never had any problems with items whenever Amazon has been the vendor.  So, my Brewstation arrived quickly and in perfect condition, and this Ultra model was apparently on sale <?> as well, so it actually cost a bit less than the first one had cost nearly 12 years ago. We washed it as per the directions, set it up, and so far, it's running perfectly. Neither our previous one, nor this one, seems to me to be ""slow"", even though I always use the ""Bold"" option.  I like strong coffee (and buy good quality coffee to begin with), and the Brewstation seems to do a good job there:  neither too fast, nor too slow, at least, in my personal opinion.  I do like that this coffee maker has no ""carafe"" for the coffee to splash off of as it drips into the pot, OR that can break into a thousand shards if dropped, knocked, or otherwise meets an end now that my balance and coordination are not what they used to be.  I also like that the lid controls the steam better, since there is more than enough humidity in Houston, especially in the summer! The stainless-steel plate in the front is brighter than the plain black, but for me personally, that's not something I'd pay extra for - though it's nice that it's there."
"September 12, 2019",Shannon,1.0,49,"I want to say right up front that this is the THIRD Hamilton Beach Brew Station I've purchased.  The first one I purchased lasted about 5-6 years.  I bought one for my Dad because he raved about it when he came to visit.  So when that one finally died, I had no problem searching for another one.  I loved the changes they made from the original BrewStation.  Having the fill reservoir on the side was an absolute win for me.  No dumping and dripping.  Just fill and pop it back on.  It had the same brew settings I loved from the original and the ""Keep Warm"" time options.  It performed just as I expected it to.  Until it hit about the 8 month mark.  Just so we're clear, I cleaned it monthly using the vinegar cycle just as directed.  Holding the vinegar in place for 30 minutes after allowing it to briefly start a brewing cycle.  I never used harsh cleaning products because, ewwwww.....gross.  That's one sure way to eff up your coffee for awhile.  So, yeah.  It was cleaned often and as it was supposed to be.  First problem:  the reservoir that holds the warm coffee started to drip/leak from the dispenser.  I cleaned it thoroughly and that's about all you can do.  If there was coffee in the dispenser it dripped......and you come home to a LAKE on your counter.  So you either had to leave a cup under the dispenser to catch the drip or put all of the coffee into a carafe (which kind of defeats the whole purpose of the BrewStation).  So that's what we were doing and I fired off an e-mail to Hamilton Beach.  Literally, the very next day, we encountered the second problem.  The coffee maker started only running through part of the brew cycle and then it would shut down.  At first, I thought the setting must have been changed to 1-4 cups.  It wasn't.  It was set to run a full 12-cup brew......but it's like the coffee pot was randomly deciding how much effort it wanted to put in on any given day.  Sometimes we ended up with 2 cups of coffee and 10 cups of water remaining in the reservoir.  Sometimes half and half.  Most of the time.....like 95%......it would run 8 cups of coffee and leave 4 cups of water sitting in the reservoir.  That's not even an option on the damn coffee maker.  There is no ""make 2/3 pot"" option.  So, when HB answered me back about the drip problem, which was to pay for another coffee reservoir and pay for shipping, I fired back an e-mail telling them about the new problem.  Silence.  CRICKETS.  Still nothing.  This all happened inside of the 1-Year Limited Warranty.  I hadn't registered the coffee pot with HB when purchased and it was obviously outside the 30 day return window from Amazon.  I don't know what I'll end up buying.  For now I drug an old Mr. Coffee out of the pantry and it's still chugging away.  I see a few other reviews on here where people have had similar problems.  Just wanted to let others know that while Hamilton Beach BrewStation was awesome out of the gate, there is the potential for problems shortly after purchase.  Fair warning."
"September 7, 2015",bluzdogs,3.0,169,"UPDATE: May 17, 2016 After ~8 months of daily use, we've discovered that somewhere along the design chain something was either overlooked or ignored. As I said in my first review, there's a lot to love about the redesign of this unit. But something's not right. About 6 months in, the reservoir that holds the brewed coffee began to leak. I contacted HB and was told I had to pay $5.99 shipping and they would send a replacement. Fine. The new reservoir works fine. No leaks since. At least no brewed coffee leaks. (BTW, turns out, bleach is the culprit for that. Simply put, DON'T use bleach at all, to remove coffee residue inside the filter rack or the hot beverage reservoir. Not even just a tiny amount. But for the next issue, almost from the start, we started noticing a large amount of condensation on the lid that covers the coffee filter assembly. Since there's nowhere for the water to really go, it just pools into the two channels on either side of the hotplate underneath the coffee reservoir (Photos A & C). There are only two ways to remove that water. 1) Take the BrewStation apart, flip it over & dump out the water, or 2) much more simply, use a turkey baster to suction out the water. Repeat at least every other day because there's up to 1/2 cup of condensation created every day (B). If you don't get rid of the excess water, one fine morning, you'll be greeted by a thin layer of water all over your counter. This problem was completely absent in the first unit we purchased. Other than this nuisance, the Brewstation is a great alternative for keeping coffee hot without burning it as do traditional coffee makers. As I mentioned in my original post, this design is convenient for those confined to wheelchairs to be able to get their own coffee themselves. ____________________________________________________________________________________________________________________ Our first Brewstation lasted about 6 years, so buying another didn't require much thought. Consumer Reports pooh-poohed this line because its brewing temperature is about 10° higher than the ""optimal"" 185°, but I don't really care. We live & care for my wife's invalid mother, who is confined to a wheelchair. Since there's no decanter, she can get her own coffee easily by herself. Plus, because of the machine's unique design, the coffee will hold for the full four hours without tasting like the gear oil from a poorly maintained, 1967 model dump truck. Versus the old model, I love the removable water reservoir and the light on the display is much brighter. While we seldom make iced coffee on purpose, it's nice that the feature is built in. Also, this  one is about$15 cheaper than the original we bought in 2009. My only negative is that the front panel of the coffee reservoir gets *extremely* ' HOT!  Ordinarily, it's not a problem. But if, for example, you're cleaning the machine and run consecutive brew cycles, the ""chrome"" plate on the front, even though it's plastic, will scorch your bare skin. You've been warned! Otherwise, this coffee maker is a winner! Hamilton Beach knocked this one out of the park."
"February 26, 2017",Ivan Veraja,1.0,92,"Bought this coffee maker in September 2016 - less than 6 months ago. It was great at first, really liked the design. But now the paint/plastic inside the coffee reservoir is corroding off INTO THE COFFEE. Every time I rinse it out flecks of black paint/plastic come washing out as well - lots of flecks. It's coming off from the little windows that let you know how much coffee is left, and also along the bottom of the reservoir. I can't imagine having paint & plastic steeping in our coffee is good for us. Time to go back to a regular coffee maker with glass carafe."
